,Region,Sample_type,pH_mean,fIIIa_prime_meth,fIIIb_prime_meth,fIIIc_prime_meth,fIa_meth,fIIa_meth
X19.3LN_Soil3,Baffin,Soil,,0.135438953,0,0,0.692280419,0.289701534
X19.3LN_Soil4,Baffin,Soil,,0,,,0.5179505,0.415276704
X19.3LN_Soil5,Baffin,Soil,,0.1542083,0.01760615,,0.391068563,0.475277409
X19AFR_Soil1,Baffin,Soil,,0.333652819,0.04808824,,0.365510425,0.398020132
X19AFR_Soil2,Baffin,Soil,,0.462976455,0,,0.415273909,0.443294195
X19AFR_Soil3,Baffin,Soil,,0.204360955,0,,0.339495206,0.428330674
X19AFR_Soil4,Baffin,Soil,,0.196581805,0.063470567,,0.386480222,0.472613168
X19AFR_Soil5,Baffin,Soil,,0.337758688,0,,0.359569451,0.48272652
X19ARQ_SoilD2,Baffin,Soil,,0.230977892,0,,0.455850313,0.424030318
X19ARQ.SoilD1,Baffin,Soil,,0.305134246,0.474764964,,0.34991679,0.43822675
X19BIR_SoilD1,Baffin,Soil,,0.055736592,,,0.422202849,0.482202245
X19BIR_SoilD2,Baffin,Soil,,0.366087327,,,0.505455435,0.410493979
X19BIR_SoilD3,Baffin,Soil,,0.167751607,,,0.41064606,0.474448985
X19BIR_SoilD4,Baffin,Soil,,0.110636552,0.111027944,,0.383211642,0.466041703
X19BIR_SoilD5,Baffin,Soil,,0.113469289,0.302049696,,0.403159924,0.465902042
X19BIR_SoilD6,Baffin,Soil,,0.150755776,1,,0.473793842,0.431857799
X19BIR_SoilD7,Baffin,Soil,,0.127809315,0,,0.41335783,0.446167682
X19BIR_SoilD8,Baffin,Soil,,0.107440006,0.128639009,,0.419563427,0.463630119
X19CF8_SoilT1,Baffin,Soil,,0.202055696,1,,0.308115287,0.52645164
X19CF8_SoilT2,Baffin,Soil,,0.22047671,,,0.355711141,0.480582072
X19CF8_SoilT3,Baffin,Soil,,0.168792973,0.534550343,,0.505187258,0.410471847
BER_LSS,Iceland,Surface_Sediment,6.642727273,0.488304948,0.177358666,0.390806351,0.169864918,0.351599226
BER19_S1,Iceland,Soil,,0.184818733,0.833201311,,0.29494963,0.47984731
BRO_SoilT1,Baffin,Soil,,0.180890079,0,,0.366631173,0.484775772
BRO_SoilT2,Baffin,Soil,,0.218576532,0,,0.440511609,0.419738329
BRO_SoilT3,Baffin,Soil,,0.366327683,0,,0.570285913,0.387352367
BRO_SoilT4,Baffin,Soil,,0.410112623,0.071534025,,0.398565628,0.478332663
HEID19_LSS,Iceland,Surface_Sediment,6.922747312,0.527876306,0.285673095,0.367463715,0.169534295,0.263734479
HEID19_S2,Iceland,Soil,,0.18682531,0.123736882,0.277297201,0.416205012,0.357473004
HOG19_LSS,Iceland,Surface_Sediment,5.935,0.539699997,0.355048522,0.102171665,0.200759797,0.303178546
HOG19_S1,Iceland,Soil,,0.14793876,0.101006475,0,0.305595854,0.417874806
LEI19_LSS,Iceland,Surface_Sediment,6.947741935,0.523719187,0.178698853,0.443698302,0.185272003,0.328866295
LEI19_S1,Iceland,Soil,,0.169410216,0.077659851,,0.295645894,0.437781849
LVID_S1,Iceland,Soil,,0.216045282,0.116822824,0.285367398,0.373844412,0.406207135
LVID19_LSS1,Iceland,Surface_Sediment,6.672090909,0.486821229,0.183266242,0.267912258,0.210904283,0.351221029
MARG_S1,Iceland,Soil,,0.156849352,0.023842637,0,0.344779443,0.378943932
